srcStateName,srcYear,"Micro, Small, Medium Enterprises (MSME) Projects under Prime Minister Employment Generation Programme (PMEGP)",Fund released under Prime Minister Employment Generation Programme (PMEGP),Employment Generated under Prime Minister Employment Generation Programme (PMEGP),YearCode,Year
ASSAM,2016-17,2396,202856594,19168,2016,"Calendar Year (Jan - Dec), 2016"
BIHAR,2016-17,1932,471250991,15456,2016,"Calendar Year (Jan - Dec), 2016"
CHANDIGARH,2016-17,34,4775859,272,2016,"Calendar Year (Jan - Dec), 2016"
CHHATTISGARH,2016-17,1239,311545318,9912,2016,"Calendar Year (Jan - Dec), 2016"
DAMAN AND DIU,2016-17,2,271250,16,2016,"Calendar Year (Jan - Dec), 2016"
DELHI,2016-17,96,14912975,768,2016,"Calendar Year (Jan - Dec), 2016"
GOA,2016-17,59,12626314,472,2016,"Calendar Year (Jan - Dec), 2016"
GUJARAT,2016-17,947,577040029,7576,2016,"Calendar Year (Jan - Dec), 2016"
HARYANA,2016-17,1114,273530121,8912,2016,"Calendar Year (Jan - Dec), 2016"
HIMACHAL PRADESH,2016-17,760,182537634,6080,2016,"Calendar Year (Jan - Dec), 2016"
JAMMU KASHMIR,2016-17,929,164720197,7432,2016,"Calendar Year (Jan - Dec), 2016"
JHARKHAND,2016-17,833,177152928,6664,2016,"Calendar Year (Jan - Dec), 2016"
KARNATAKA,2016-17,1830,605744550,14640,2016,"Calendar Year (Jan - Dec), 2016"
KERALA,2016-17,1082,215368654,8656,2016,"Calendar Year (Jan - Dec), 2016"
LADAKH,2016-17,70,15969750,560,2016,"Calendar Year (Jan - Dec), 2016"
MADHYA PRADESH,2016-17,1551,660443318,12408,2016,"Calendar Year (Jan - Dec), 2016"
MAHARASHTRA,2016-17,1603,441745968,12824,2016,"Calendar Year (Jan - Dec), 2016"
MANIPUR,2016-17,803,144335556,6424,2016,"Calendar Year (Jan - Dec), 2016"
MEGHALAYA,2016-17,196,25209108,1568,2016,"Calendar Year (Jan - Dec), 2016"
MIZORAM,2016-17,326,36486385,2608,2016,"Calendar Year (Jan - Dec), 2016"
NAGALAND,2016-17,553,113399341,4424,2016,"Calendar Year (Jan - Dec), 2016"
ODISHA,2016-17,1456,332912953,11648,2016,"Calendar Year (Jan - Dec), 2016"
PUDUCHERRY,2016-17,43,6527588,344,2016,"Calendar Year (Jan - Dec), 2016"
PUNJAB,2016-17,722,187416004,5776,2016,"Calendar Year (Jan - Dec), 2016"
RAJASTHAN,2016-17,1226,350103922,9808,2016,"Calendar Year (Jan - Dec), 2016"
SIKKIM,2016-17,24,3169182,192,2016,"Calendar Year (Jan - Dec), 2016"
TAMIL NADU,2016-17,2000,569757797,16000,2016,"Calendar Year (Jan - Dec), 2016"
TELANGANA,2016-17,376,158404193,3008,2016,"Calendar Year (Jan - Dec), 2016"
TRIPURA,2016-17,1206,197700824,9648,2016,"Calendar Year (Jan - Dec), 2016"
UTTAR PRADESH,2016-17,1990,713559688,15920,2016,"Calendar Year (Jan - Dec), 2016"
UTTARAKHAND,2016-17,1037,167370499,8296,2016,"Calendar Year (Jan - Dec), 2016"
WEST BENGAL,2016-17,1913,360812203,15304,2016,"Calendar Year (Jan - Dec), 2016"
